I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Апрель 2016г.	В % к	Январь- апрель 2016г. в % к январю- апрелю 2015г.	Справочно			
		апрелю 2015г.	марту 2016г.		апрель 2015г. в % к	январь- апрель 2015г. в % к январю- апрелю 2014г.	
					апрелю 2014г.	марту 2015г.	
Валовой внутренний продукт		98,81),2)			97,23)		
Индекс промышленного производства		100,5	94,4	99,9	95,5	93,5	98,5
Продукция сельского хозяйства, млрд.рублей	299,5	102,7	113,9	102,8	103,3	113,9	103,5
Грузооборот транспорта, млрд.т-км	412,5	100,8	95,3	101,3	98,8	94,4	98,5
в том числе железнодорожного транспорта	189,7	102,2	95,7	101,0	98,0	92,8	99,7
Оборот розничной торговли, млрд.рублей	2212,0	95,2	98,6	94,8	90,2	97,6	92,3
Объем платных услуг населению, млрд.рублей	679,6	99,2	98,8	98,9	97,54)	98,6	99,14)
Внешнеторговый оборот, млрд.долларов США	38,35)	76,66)	116,07)	72,78)	67,26)	111,57)	69,08)
в том числе: экспорт товаров	23,0	69,9	114,0	66,8	70,0	111,9	73,3
импорт товаров	15,3	89,4	119,2	84,8	62,4	110,8	61,6
Инвестиции в основной капитал, млрд.рублей	2149,49)	95,22)			95,23)		
Индекс потребительских цен		107,3	100,4	108,1	116,4	100,5	116,3
Индекс цен производителей промышленных товаров		100,9	102,6	103,0	115,0	102,7	111,1
Реальные располагаемые денежные доходы10)		92,9	108,0	95,3	97,44)	114,8	97,64)
Среднемесячная начисленная заработная плата работников организаций11):							
номинальная, рублей	36210	105,4	102,0	107,1	105,24)	105,4	105,64)
реальная		98,3	101,6	99,1	90,44)	104,9	90,84)
Общая численность безработных, млн.человек	4,510)	102,3	99,0	102,5	108,84)	98,2	104,14)
Численность официально зарегистрированных безработных, млн.человек	1,1	103,8	99,4	106,9	107,44)	101,5	102,94)
1) Предварительная оценка. 2) I квартал 2016г. в % к I кварталу 2015 года. 3) I квартал 2015г. в % к I кварталу 2014 года. 4) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 5) Данные за март 2016 года. 6) Март 2016г. и март 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Март 2016г. и март 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) I квартал 2016г. и I квартал 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I квартал 2016 года. 10) Предварительные данные. 11) Данные за периоды 2016г. - оценка.							
