I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Июнь 2016г.	В % к	I полу- годие 2016г. в % к I полу- годию 2015г.	Справочно			
		июню 2015г.	маю 2016г.		июнь 2015г. в % к	I полу- годие 2015г. в % к I полу- годию 2014г.	
					июню 2014г.	маю 2015г.	
Валовой внутренний продукт, млрд.рублей	18561,31)	98,82)			97,23)		
Индекс промышленного производства		101,7	101,6	100,4	95,2	100,6	97,3
Продукция сельского хозяйства, млрд.рублей	326,2	102,1	101,1	102,6	101,6	101,6	102,9
Грузооборот транспорта, млрд.т-км	405,9	101,8	97,3	101,3	96,9	96,2	97,8
в том числе железнодорожного транспорта	188,5	102,0	96,3	101,5	98,0	97,3	99,3
Оборот розничной торговли, млрд.рублей	2262,0	94,1	100,6	94,3	90,4	100,4	91,6
Объем платных услуг населению, млрд.рублей	684,8	98,0	101,0	99,1	98,54)	103,7	98,64)
Внешнеторговый оборот, млрд.долларов США	36,45)	79,36)	98,57)	75,58)	65,56)	98,07)	66,88)
в том числе: экспорт товаров	22,0	71,7	100,5	68,8	69,7	99,8	70,7
импорт товаров	14,4	94,5	95,6	88,8	58,5	94,6	60,2
Инвестиции в основной капитал, млрд.рублей	2149,49)	95,22)			95,23)		
Индекс потребительских цен		107,5	100,4	107,8	115,3	100,2	116,0
Индекс цен производителей промышленных товаров		105,1	102,7	103,4	113,1	100,7	111,8
Реальные располагаемые денежные доходы10)		95,2	110,1	95,0	95,84)	108,5	96,34)
Среднемесячная начисленная заработная плата работников организаций11):							
номинальная, рублей	38590	109,0	103,5	107,8	105,44)	103,0	105,84)
реальная		101,4	103,1	100,0	91,44)	102,8	91,24)
Общая численность безработных, млн.человек	4,210)	102,1	97,1	102,1	108,64)	95,3	106,34)
Численность официально зарегистрированных безработных, млн.человек	1,0	99,4	95,9	104,6	110,94)	97,0	105,24)
1) Данные за I квартал 2016г. (первая оценка). 2) I квартал 2016г. в % к I кварталу 2015 года. 3) I квартал 2015г. в % к I кварталу 2014 года. 4) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 5) Данные за май 2016 года. 6) Май 2016г. и май 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Май 2016г. и май 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-май 2016г. и январь-май 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I квартал 2016 года. 10) Предварительные данные. 11) Данные за периоды 2016г. - оценка.							
