I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Июль 2016г.	В % к	Январь- июль 2016г. в % к январю- июлю 2015г.	Справочно			
		июлю 2015г.	июню 2016г.		июль 2015г. в % к	январь- июль 2015г. в % к январю- июлю 2014г.	
					июлю 2014г.	июню 2015г.	
Валовой внутренний продукт		99,11),2)			96,33)		
Индекс промышленного производства		99,7	100,2	100,3	95,3	102,3	97,0
Продукция сельского хозяйства, млрд.рублей	505,4	104,9	183,2	103,2	98,0	178,3	100,3
Грузооборот транспорта, млрд.т-км	425,8	101,4	104,8	101,3	101,9	105,3	98,4
в том числе железнодорожного транспорта	197,7	100,5	104,6	101,4	102,5	106,4	99,8
Оборот розничной торговли, млрд.рублей	2364,4	95,0	104,2	94,4	90,5	103,2	91,5
Объем платных услуг населению, млрд.рублей	702,9	99,0	100,7	99,2	97,94)	100,2	98,54)
Внешнеторговый оборот, млрд.долларов США	40,15)	86,66)	110,17)	77,48)	68,76)	100,87)	67,18)
в том числе: экспорт товаров	24,1	80,2	109,7	70,7	74,1	98,1	71,2
импорт товаров	16,0	98,6	110,7	90,6	60,7	106,1	60,3
Инвестиции в основной капитал, млрд.рублей	5302,79)	95,72)			92,73)		
Индекс потребительских цен		107,2	100,5	107,8	115,6	100,8	116,0
Индекс цен производителей промышленных товаров		104,5	100,2	103,6	113,1	101,5	112,0
Реальные располагаемые денежные доходы10)		93,0	99,0	94,7	95,94)	101,5	96,34)
Среднемесячная начисленная заработная плата работников организаций11):							
номинальная, рублей	36525	107,8	95,0	107,8	105,04)	95,8	105,64)
реальная		100,6	94,5	100,0	90,84)	95,0	91,14)
Общая численность безработных, млн.человек	4,110)	101,4	98,8	102,0	107,94)	99,5	106,54)
Численность официально зарегистрированных безработных, млн.человек	0,9	96,9	97,6	103,5	113,14)	100,1	106,34)
1) Предварительная оценка. 2) I полугодие 2016г. в % к I полугодию 2015 года. 3) I полугодие 2015г. в % к I полугодию 2014 года. 4) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 5) Данные за июнь 2016 года. 6) Июнь 2016г. и июнь 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Июнь 2016г. и июнь 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) I полугодие 2016г. и I полугодие 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I полугодие 2016 года. 10) Предварительные данные. 11) Данные за периоды 2016г. - оценка.							
