I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Январь 2017г.	В % к	Справочно		
		январю 2016г.	декабрю 2016г.	январь 2016г. в % к	
				январю 2015г.	декабрю 2015г.
Валовой внутренний продукт, млрд.рублей	85880,61)	99,82)		97,23)	
Индекс промышленного производства4)		102,3	76,2	99,2	74,7
Продукция сельского хозяйства, млрд.рублей	171,5	100,6	56,1	103,3	57,6
Грузооборот транспорта, млрд.т-км	463,4	108,1	97,7	101,0	93,3
в том числе железнодорожного транспорта	203,3	111,1	97,5	97,1	90,4
Оборот розничной торговли, млрд.рублей	2204,5	97,7	75,5	93,6	72,8
Объем платных услуг населению, млрд.рублей	688,5	102,2	89,5	96,9	87,5
Внешнеторговый оборот, млрд.долларов США	50,45)	109,26)	114,27)	73,86)	110,37)
в том числе: экспорт товаров	31,1	108,3	116,8	75,5	113,2
импорт товаров	19,3	110,6	110,2	71,3	106,0
Инвестиции в основной капитал, млрд.рублей	9116,18)	97,79)		90,410)	
Индекс потребительских цен		105,0	100,6	109,8	101,0
Индекс цен производителей промышленных товаров4)		112,7	103,3	…	98,511)
Реальные располагаемые денежные доходы12)		108,1	52,3	93,8	45,3
Среднемесячная начисленная заработная плата работников организаций:					
номинальная, рублей	3565012)	108,312)	75,012)	105,8	75,0
реальная		103,112)	74,612)	96,4	74,3
Общая численность безработных, млн.человек	4,313)	96,8	104,5	106,2	100,1
Численность официально зарегистрированных безработных, млн.человек	0,9	88,2	100,3	110,1	101,6
"1) Данные за 2016г. (первая оценка). 2) 2016г. в % к 2015 году. 3) 2015г. в % к 2014 году. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"". 5) Данные за декабрь 2016 года. 6) Декабрь 2016г. и декабрь 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Декабрь 2016г. и декабрь 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Данные за январь-сентябрь 2016 года. 9) Январь-сентябрь 2016г. в % к январю-сентябрю 2015 года. 10) Январь-сентябрь 2015г. в % к январю-сентябрю 2014 года. 11) В целях обеспечения сопоставимости данные пересчитаны в соответствии с группировками ОКВЭД2. 12) Оценка. 13) Предварительные данные."					
