I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Сентябрь 2016г.	В % к	Январь- сентябрь 2016г. в % к январю- сентябрю 2015г.	Справочно			
		сентябрю 2015г.	августу 2016г.		сентябрь 2015г. в % к	январь- сентябрь 2015г. в % к январю- сентябрю 2014г.	
					сентябрю 2014г.	августу 2015г.	
Валовой внутренний продукт, млрд.рублей	38540,71)	99,12)			96,33)		
Индекс промышленного производства		99,2	101,8	100,3	96,3	103,4	96,8
Продукция сельского хозяйства, млрд.рублей	1149,8	101,7	161,0	103,0	103,1	167,7	101,8
Грузооборот транспорта, млрд.т-км	439,4	104,1	103,1	101,8	101,0	102,1	98,9
в том числе железнодорожного транспорта	194,8	101,2	98,1	101,5	99,4	99,3	99,9
Оборот розничной торговли, млрд.рублей	2407,5	96,4	98,6	94,6	89,3	97,0	91,1
Объем платных услуг населению, млрд.рублей	707,5	98,8	97,8	99,4	97,54)	100,8	98,24)
Внешнеторговый оборот, млрд.долларов США	41,75)	100,76)	108,17)	81,38)	62,06)	94,07)	65,38)
в том числе: экспорт товаров	23,3	92,8	103,4	74,3	60,6	92,0	68,3
импорт товаров	18,4	113,0	114,6	94,4	64,3	97,2	60,4
Инвестиции в основной капитал, млрд.рублей	5302,79)	95,72)			92,73)		
Индекс потребительских цен		106,4	100,2	107,5	115,7	100,6	115,9
Индекс цен производителей промышленных товаров		105,1	100,7	103,7	112,7	98,9	112,3
Реальные располагаемые денежные доходы10)		97,2	97,3	94,7	93,94)	91,8	95,84)
Среднемесячная начисленная заработная плата работников организаций11):							
номинальная, рублей	36115	109,4	102,0	107,9	103,74)	102,3	105,44)
реальная		102,8	101,8	100,4	89,64)	101,7	90,94)
Общая численность безработных, млн.человек	4,010)	99,6	99,5	101,4	106,64)	99,1	106,84)
Численность официально зарегистрированных безработных, млн.человек	0,9	93,8	94,8	101,5	114,74)	96,1	107,94)
1) Данные за I полугодие 2016г. (первая оценка). 2) I полугодие 2016г. в % к I полугодию 2015 года. 3) I полугодие 2015г. в % к I полугодию 2014 года. 4) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 5) Данные за август 2016 года. 6) Август 2016г. и август 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Август 2016г. и август 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-август 2016г. и январь-август 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I полугодие 2016 года. 10) Предварительные данные. 11) Данные за периоды 2016г. - оценка.							
