I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Февраль 2016г.	В % к	Январь- февраль 2016г. в % к январю- февралю 2015г.	Справочно			
		февралю 2015г.	январю 2016г.		февраль 2015г. в % к	январь- февраль 2015г. в % к январю- февралю 2014г.	
					февралю 2014г.	январю 2015г.	
Валовой внутренний продукт, млрд.рублей	80412,51)	96,32)			100,73)		
Индекс промышленного производства4)		101,0	103,0	99,3	98,4	99,2	99,6
Продукция сельского хозяйства, млрд.рублей	179,5	103,1	110,5	102,8	103,2	109,9	103,0
Грузооборот транспорта, млрд.т-км	405,6	103,8	94,6	102,3	98,6	92,0	97,3
в том числе железнодорожного транспорта	185,0	105,9	101,1	101,3	101,8	92,7	100,0
Оборот розничной торговли, млрд.рублей	2086,4	94,1	97,5	93,4	93,0	96,0	94,7
Объем платных услуг населению, млрд.рублей	660,9	99,6	103,3	98,3	98,95)	100,3	99,85)
Внешнеторговый оборот, млрд.долларов США	27,46)	68,47)	59,78)		66,07)	63,78)	
в том числе: экспорт товаров	17,6	63,6	62,0		70,0	72,2	
импорт товаров	9,7	79,1	55,8		58,6	50,3	
Инвестиции в основной капитал, млрд.рублей	14555,99)	91,62)			98,53)		
Индекс потребительских цен		108,1	100,6	108,9	116,7	102,2	115,8
Индекс цен производителей промышленных товаров4)		103,5	98,5	105,4	109,3	102,1	108,2
Реальные располагаемые денежные доходы10)		93,1	130,9	93,3	97,65)	131,7	98,15)
Среднемесячная начисленная заработная плата работников организаций11):							
номинальная, рублей	32990	105,3	101,0	105,5	108,15)	101,5	106,65)
реальная		97,4	100,4	96,9	92,65)	99,3	92,05)
Общая численность безработных, млн.человек	4,410)	100,4	100,0	103,3	101,55)	105,8	99,75)
Численность официально зарегистрированных безработных, млн.человек	1,1	108,0	105,2	109,0	102,15)	107,2	99,75)
"1) Данные за 2015г. (первая оценка). 2) 2015г. в % к 2014 году. 3) 2014г. в % к 2013 году. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Производство и распределение электроэнергии, газа и воды"". 5) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 6) Данные за январь 2016 года. 7) Январь 2016г. и январь 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 8) Январь 2016г. и январь 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 9) Данные за январь-декабрь 2015 года. 10) Предварительные данные. 11) Данные за периоды 2016г. - оценка."							
